Hardenack Zinck ,Hardenack Otto Konrad Zinck   ,"Zinck, Hardenack Otto Konrad",,
Remigio Acevedo Guajardo ,Remigio Acevedo Guajardo ,"Acevedo Guajardo, Remigio",,
Jorge Luis Acevedo Vargas,Jorge Luis Acevedo Vargas,"Acevedo Vargas, Jorge Luis ",,
Paul d'Acosta,Paul d'Acosta,"Acosta, Paul d'",,
Corradino d'Aguillo ,Corradino d'Aguillo ,"Aguillo, Corradino d'",,
Eugen d'Albert ,Eugen d'Albert ,"Albert, Eugen d’",,
"Albert, Prince-Regent of England","Albert, Prince-Regent of England","Albert, Prince-Regent of England",,
Giulio d'Alessandri Chiapetta,Giulio d'Alessandri Chiapetta,"Alessandri Chiapetta, Giulio d'",,
[Mary Frances Bumpers] Frances Allitsen,[Mary Frances Bumpers] Frances Allitsen,"Allitsen, Frances [Mary Frances Bumpers] ",,
Ferdinand d'Antoine ,Ferdinand d'Antoine ,"Antoine, Ferdinand d'",,
Antonio d'Antoni ,Antonio d'Antoni ,"Antoni, Antonio d'",,
Jean Michel d'Archambeau,Jean Michel d'Archambeau,"Archambeau, Jean Michel d'",,
Nicola d'Arienzo,Nicola d'Arienzo,"Arienzo, Nicola d'",,
Vicente Arregui Garay ,Vicente Arregui Garay ,"Arregui Garay, Vicente",,
