Frantisek Serafinský Procházka,František Serafínský Procházka,"Procházka, František Serafínský ",,
Jirí Procházka,Jiří Procházka,"Procházka, Jiří",,
Karel Vojtech Prokop,Karel Vojtěch Prokop,"Prokop, Karel Vojtěch ",,
Tomislav Prpic,Tomislav Prpić,"Prpić, Tomislav",,
Frantisek Rachlík,František Rachlík,"Rachlík, František",,
[Janis Plieksans] Janis Rainis,[Jānis Pliekšāns] Jānis Rainis,"Rainis, Jānis [Jānis Pliekšāns]",,
Armand-Jean Le Bouthillier de Rancé ,Armand-Jean de Rancé     ,"Rancé, Armand-Jean de",,
Tхnis Rätsep ,Tõnis Rätsep,"Rätsep, Tõnis",,
__ Recoux ,Charles Recoux     ,"Recoux, Charles",,
Roger Timothée Regnard de Pleinchesne ,Roger-Timothée Régnard de Pleinchesne     ,"Régnard de Pleinchesne, Roger-Timothée",,
Johann Josef Reiff ,Johann Joseph Reiff     ,"Reiff, Johann Joseph",,
Milos Rejnus,Miloš Rejnuš,"Rejnuš, Miloš",,
Václav Renc,Václav Renč,"Renč, Václav",,
B. Roach ,Barry Roach   ,"Roach, Barry",,
Dunja Robic,Dunja Robić,"Robić, Dunja",,
Ludomir Michal Rogowski,Ludomir Michał Rogowski,"Rogowski, Ludomir Michał ",,
